index,statefp,state,countyfp,county,unique.name,hurricane,zcta,time.seconds,track_order,wind_order,rain_order,track_rate,wind_rate,rain_rate,track_bid1,wind_bid1,rain_bid1,track_answer1,wind_answer1,rain_answer1,track_bid2,wind_bid2,rain_bid2,track_answer2,wind_answer2,rain_answer2,mean.inc18,female,experience,evacuate,voice,action,long_risk,age,owner,tenure,short_risk,hurricane_awareness,fema_awareness,nfip_awareness,damage,hh_size,dist.shore,loss,fem_20ws,fem_30ws,fem_40ws,fem_50ws,meaninc_20ws,meaninc_30ws,meaninc_40ws,meaninc_50ws,ownr_20ws,ownr_30ws,ownr_40ws,ownr_50ws,tax,personal,worth,costly,trust,mean.inc11,US_inc18,dif_mean
862,37,north carolina,179,union,north carolina union,florence,28104,472,3,1,2,3,1,2,39,46,4,1,1,0,46.8,55.2,3.2,0,1,1,130331,0,0,0,2,2,2.00E-04,77,1,2,2.00E-04,3,2,2,0,2,225637.2239,,0.514028049,0.508922556,0.509344473,0.509353161,64303.69141,64027.80903,64585.30279,64350.8587,0.617343294,0.58626923,0.584894984,0.585291172,0,0,0,0,1,133819.12,68372.58687,-18.904277
863,37,north carolina,135,orange,north carolina orange,florence,27510,457,1,2,3,1,3,3,13,31,42,1,0,0,15.6,24.8,33.6,0,1,0,68668,1,1,0,2,2,0.05,47,0,1,0.01,3,2,1,0,1,193284.2537,,0.514028049,0.508922556,0.509344473,0.509353161,64303.69141,64027.80903,64585.30279,64350.8587,0.617343294,0.58626923,0.584894984,0.585291172,1,0,0,0,1,60286.63,68372.58687,3.37390339
864,45,south carolina,31,darlington,south carolina darlington,florence,29540,750,1,3,2,2,1,3,40,24,28,1,0,1,48,19.2,33.6,1,1,1,43374,1,1,0,3,3,1,21,0,10,0.002,2,0,0,1,5,117268.5281,1,0.514028049,0.508922556,0.509344473,0.509353161,64303.69141,64027.80903,64585.30279,64350.8587,0.617343294,0.58626923,0.584894984,0.585291172,0,0,1,1,0,51280.53,68372.58687,-23.42718409
865,37,north carolina,107,lenoir,north carolina lenoir,florence,28501,695,2,1,3,3,3,3,2,20,28,1,0,0,2.4,16,22.4,1,0,0,45498,1,1,0,4,4,1,34,0,10,0.2,4,3,2,0,2,51739.8688,,0.514028049,0.508922556,0.509344473,0.509353161,64303.69141,64027.80903,64585.30279,64350.8587,0.617343294,0.58626923,0.584894984,0.585291172,0,0,0,1,0,38420,68372.58687,45.2351375
866,37,north carolina,103,jones,north carolina jones,florence,28573,412,1,3,2,3,2,1,8,20,14,1,1,1,9.6,24,16.8,1,0,0,50454,1,1,1,4,4,0.01,65,0,6.333333333,0.002,2,2,1,1,1,19345.05206,2,0.514028049,0.508922556,0.509344473,0.509353161,64303.69141,64027.80903,64585.30279,64350.8587,0.617343294,0.58626923,0.584894984,0.585291172,0,0,0,0,0,56457.06,68372.58687,53.04631
867,37,north carolina,49,craven,north carolina craven,florence,28562,577,2,1,3,1,2,3,35,35,36,1,1,1,42,42,43.2,1,1,1,83027,1,1,0,2,4,0.1,38,0,5.333333333,0.1,3,1,0,1,2,12038.15687,1,0.514028049,0.508922556,0.509344473,0.509353161,64303.69141,64027.80903,64585.30279,64350.8587,0.617343294,0.58626923,0.584894984,0.585291172,0,0,1,1,0,76522.47,68372.58687,47.10525345
868,37,north carolina,133,onslow,north carolina onslow,florence,28540,601,3,1,2,2,3,3,2,46,40,1,1,1,2.4,55.2,48,1,0,1,60592,1,1,0,2,3,0.002,30,0,3,0.02,4,1,2,0,4,21152.93761,,0.514028049,0.508922556,0.509344473,0.509353161,64303.69141,64027.80903,64585.30279,64350.8587,0.617343294,0.58626923,0.584894984,0.585291172,0,0,1,1,0,62746.64,68372.58687,52.74634262
869,37,north carolina,133,onslow,north carolina onslow,florence,28546,520,2,1,3,2,3,2,16,45,32,1,0,0,19.2,36,25.6,1,0,0,60513,0,1,1,1,3,0.05,73,1,5,0.01,3,1,2,0,2,19068.17898,,0.514028049,0.508922556,0.509344473,0.509353161,64303.69141,64027.80903,64585.30279,64350.8587,0.617343294,0.58626923,0.584894984,0.585291172,1,1,0,0,1,65447.34,68372.58687,52.74634262
870,37,north carolina,135,orange,north carolina orange,florence,27510,485,3,1,2,1,2,1,10,4,30,1,1,0,12,4.8,24,0,0,0,68668,1,1,0,4,2,2.00E-04,22,1,2,0.001,2,2,2,0,4,193284.2537,,0.514028049,0.508922556,0.509344473,0.509353161,64303.69141,64027.80903,64585.30279,64350.8587,0.617343294,0.58626923,0.584894984,0.585291172,1,0,0,1,0,60286.63,68372.58687,3.37390339
871,45,south carolina,51,horry,south carolina horry,florence,29526,554,1,2,3,2,3,3,14,34,41,1,0,0,16.8,27.2,32.8,1,0,0,59986,1,1,0,1,1,1,68,1,5.916666667,1,4,3,3,0,3,19629.92289,,0.514028049,0.508922556,0.509344473,0.509353161,64303.69141,64027.80903,64585.30279,64350.8587,0.617343294,0.58626923,0.584894984,0.585291172,0,0,0,1,0,63493.57,68372.58687,-19.76940904
